stream tb=1/48000 rate=48000 channels=2 initial=0 trailing=0 preroll=0 delay=0
frame pts=-1024 dts=-1024 duration=1024 nb=1024 skip=1024 discard=0 sr=48000 ch=2 size=10
frame pts=0 dts=0 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=1024 dts=1024 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=2048 dts=2048 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=3072 dts=3072 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=4096 dts=4096 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=5120 dts=5120 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=6144 dts=6144 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=7168 dts=7168 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=8192 dts=8192 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=9216 dts=9216 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=10240 dts=10240 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=11264 dts=11264 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=12288 dts=12288 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=13312 dts=13312 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=14336 dts=14336 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=15360 dts=15360 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=16384 dts=16384 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=17408 dts=17408 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=18432 dts=18432 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=19456 dts=19456 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=20480 dts=20480 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=21504 dts=21504 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=22528 dts=22528 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=23552 dts=23552 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=24576 dts=24576 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=25600 dts=25600 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=26624 dts=26624 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=27648 dts=27648 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=28672 dts=28672 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=29696 dts=29696 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=30720 dts=30720 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=31744 dts=31744 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=32768 dts=32768 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=33792 dts=33792 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=34816 dts=34816 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=35840 dts=35840 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=36864 dts=36864 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=37888 dts=37888 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=38912 dts=38912 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=39936 dts=39936 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=40960 dts=40960 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=41984 dts=41984 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=43008 dts=43008 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=44032 dts=44032 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=45056 dts=45056 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=46080 dts=46080 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=47104 dts=47104 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=48128 dts=48128 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=49152 dts=49152 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=50176 dts=50176 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=51200 dts=51200 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=52224 dts=52224 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=53248 dts=53248 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=54272 dts=54272 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=55296 dts=55296 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=56320 dts=56320 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=57344 dts=57344 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=58368 dts=58368 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=59392 dts=59392 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=60416 dts=60416 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=61440 dts=61440 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=62464 dts=62464 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=63488 dts=63488 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=64512 dts=64512 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=65536 dts=65536 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=66560 dts=66560 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=67584 dts=67584 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=68608 dts=68608 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=69632 dts=69632 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=70656 dts=70656 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=71680 dts=71680 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=72704 dts=72704 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=73728 dts=73728 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=74752 dts=74752 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=75776 dts=75776 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=76800 dts=76800 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=77824 dts=77824 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=78848 dts=78848 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=79872 dts=79872 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=80896 dts=80896 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=81920 dts=81920 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=82944 dts=82944 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=83968 dts=83968 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=84992 dts=84992 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=86016 dts=86016 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=87040 dts=87040 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=88064 dts=88064 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=89088 dts=89088 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=90112 dts=90112 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=91136 dts=91136 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=92160 dts=92160 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=93184 dts=93184 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=94208 dts=94208 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=95232 dts=95232 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=96256 dts=96256 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=97280 dts=97280 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=98304 dts=98304 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=99328 dts=99328 duration=1024 nb=1024 side=none sr=48000 ch=2
