stream tb=1/48000 rate=48000 channels=2 initial=0 trailing=0 preroll=0 delay=0
frame pts=95072 dts=95072 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=96096 dts=96096 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=97120 dts=97120 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=98144 dts=98144 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=99168 dts=99168 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=100192 dts=100192 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=101216 dts=101216 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=102240 dts=102240 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=103264 dts=103264 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=104288 dts=104288 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=105312 dts=105312 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=106336 dts=106336 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=107360 dts=107360 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=108384 dts=108384 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=109408 dts=109408 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=110432 dts=110432 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=111456 dts=111456 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=112480 dts=112480 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=113504 dts=113504 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=114528 dts=114528 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=115552 dts=115552 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=116576 dts=116576 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=117600 dts=117600 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=118624 dts=118624 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=119648 dts=119648 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=120672 dts=120672 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=121696 dts=121696 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=122720 dts=122720 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=123744 dts=123744 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=124768 dts=124768 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=125792 dts=125792 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=126816 dts=126816 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=127840 dts=127840 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=128864 dts=128864 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=129888 dts=129888 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=130912 dts=130912 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=131936 dts=131936 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=132960 dts=132960 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=133984 dts=133984 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=135008 dts=135008 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=136032 dts=136032 duration=1024 nb=1024 side=none sr=48000 ch=2
